"Time","Bacteria","data1","data2","Mean","se","se_min","se_max"
0,"Total",9800000,8600000,9200000,960199.979171006,8239800.02082899,10160199.979171
0,"EryR",5230000,5138000,5184000,73615.3317364438,5110384.66826356,5257615.33173644
0,"TetR",7e+05,518000,609000,145630.330174269,463369.669825731,754630.330174269
0,"DRP",70000,62000,66000,6401.33319447337,59598.6668055266,72401.3331944734
1,"Total",2.2e+07,3e+07,2.6e+07,6401333.19447337,19598666.8055266,32401333.1944734
1,"EryR",19998000,25994000,22996000,4797799.22925779,18198200.7707422,27793799.2292578
1,"TetR",118000,174000,146000,44809.3323613136,101190.667638686,190809.332361314
1,"DRP",2000,6000,4000,3200.66659723669,799.333402763314,7200.66659723669
2,"Total",9.8e+07,1.22e+08,1.1e+08,19203999.5834201,90796000.4165799,129203999.58342
2,"EryR",6.6e+07,51998000,58999000,11203933.423627,47795066.576373,70202933.423627
2,"TetR",106000,90000,98000,12802.6663889467,85197.3336110533,110802.666388947
2,"DRP",0,2000,1000,1600.33329861834,1,2600.33329861834
3,"Total",5.4e+08,9.2e+08,7.3e+08,304063326.737485,425936673.262515,1034063326.73749
3,"EryR",439976000,359960000,399968000,64026134.6111227,335941865.388877,463994134.611123
3,"TetR",1776000,1360000,1568000,332869.326112615,1235130.67388738,1900869.32611262
3,"DRP",24000,40000,32000,12802.6663889467,19197.3336110533,44802.6663889467
4,"Total",1.34e+09,1.1e+09,1.22e+09,192039995.834201,1027960004.1658,1412039995.8342
4,"EryR",859460000,619640000,739550000,191895965.837326,547654034.162674,931445965.837326
4,"TetR",13460000,14840000,14150000,1104229.97604666,13045770.0239533,15254229.9760467
4,"DRP",540000,360000,450000,144029.996875651,305970.003124349,594029.996875651
5,"Total",1.04e+09,1.1e+09,1.07e+09,48009998.9585503,1021990001.04145,1118009998.95855
5,"EryR",779600000,639780000,709690000,111879300.906408,597810699.093592,821569300.906408
5,"TetR",31600000,25780000,28690000,4656969.89897938,24033030.1010206,33346969.8989794
5,"DRP",4e+05,220000,310000,144029.996875651,165970.003124349,454029.996875651
6,"Total",9.6e+08,1.32e+09,1.14e+09,288059993.751302,851940006.248698,1428059993.7513
6,"EryR",519800000,6.6e+08,589900000,112183364.233146,477716635.766854,702083364.233146
6,"TetR",2400000,3e+06,2700000,480099.989585503,2219900.0104145,3180099.9895855
6,"DRP",2e+05,0,1e+05,160033.329861834,1,260033.329861834
7,"Total",1.66e+09,2.4e+09,2.03e+09,592123320.488787,1437876679.51121,2622123320.48879
7,"EryR",1.04e+09,959600000,999800000,64333398.6044574,935466601.395543,1064133398.60446
7,"TetR",5200000,3800000,4500000,1120233.30903284,3379766.69096716,5620233.30903284
7,"DRP",0,4e+05,2e+05,320066.659723669,1,520066.659723669
8,"Total",1.6e+09,3.8e+09,2.7e+09,1760366628.48018,939633371.519823,4460366628.48018
8,"EryR",1039800000,1.199e+09,1119400000,127386530.57002,992013469.42998,1246786530.57002
8,"TetR",3800000,5e+06,4400000,960199.979171006,3439800.02082899,5360199.97917101
8,"DRP",2e+05,1e+06,6e+05,640133.319447337,1,1240133.31944734
16,"Total",2.8e+09,2e+09,2.4e+09,640133319.447337,1759866680.55266,3040133319.44734
16,"EryR",1195600000,1.284e+09,1239800000,70734731.7989308,1169065268.20107,1310534731.79893
16,"TetR",35600000,8e+07,57800000,35527399.2293272,22272600.7706728,93327399.2293272
16,"DRP",4400000,1.6e+07,10200000,9281933.13198639,918066.868013611,19481933.1319864
17,"Total",2.4e+09,3.6e+09,3e+09,960199979.171006,2039800020.82899,3960199979.17101
17,"EryR",1.434e+09,1544600000,1489300000,88498431.4135944,1400801568.58641,1577798431.41359
17,"TetR",4.2e+07,54600000,48300000,10082099.7812956,38217900.2187044,58382099.7812956
17,"DRP",6e+06,15400000,10700000,7521566.50350621,3178433.49649379,18221566.5035062
18,"Total",2.4e+09,2.8e+09,2.6e+09,320066659.723669,2279933340.27633,2920066659.72367
18,"EryR",1433600000,1844200000,1638900000,328548426.206346,1310351573.79365,1967448426.20635
18,"TetR",51600000,74200000,62900000,18083766.2743873,44816233.7256127,80983766.2743873
18,"DRP",6400000,15800000,11100000,7521566.50350621,3578433.49649379,18621566.5035062
19,"Total",2.2e+09,2.4e+09,2.3e+09,160033329.861834,2139966670.13817,2460033329.86183
19,"EryR",1332800000,1.604e+09,1468400000,217005195.292647,1251394804.70735,1685405195.29265
19,"TetR",66800000,7.2e+07,69400000,4160866.57640769,65239133.4235923,73560866.5764077
19,"DRP",7200000,1.6e+07,11600000,7041466.51392071,4558533.48607929,18641466.5139207
20,"Total",1.8e+09,2.8e+09,2.3e+09,800166649.309171,1499833350.69083,3100166649.30917
20,"EryR",1592800000,1.52e+09,1556400000,58252132.0697077,1498147867.93029,1614652132.06971
20,"TetR",68800000,9.6e+07,82400000,21764532.8612095,60635467.1387905,104164532.861209
20,"DRP",7200000,2e+07,13600000,10242133.1111574,3357866.8888426,23842133.1111574
21,"Total",2.6e+09,4.4e+09,3.5e+09,1440299968.75651,2059700031.24349,4940299968.75651
21,"EryR",1550400000,1.598e+09,1574200000,38087932.5071166,1536112067.49288,1612287932.50712
21,"TetR",66400000,2.58e+08,162200000,153311930.007637,8888069.99236274,315511930.007637
21,"DRP",9600000,2.2e+07,15800000,9922066.45143373,5877933.54856627,25722066.4514337
22,"Total",3.2e+09,1.4e+09,2.3e+09,1440299968.75651,859700031.243491,3740299968.75651
22,"EryR",1470800000,1.398e+09,1434400000,58252132.0697077,1376147867.93029,1492652132.06971
22,"TetR",72800000,2.18e+08,145400000,116184197.479692,29215802.5203083,261584197.479692
22,"DRP",9200000,2.2e+07,15600000,10242133.1111574,5357866.8888426,25842133.1111574
23,"Total",2.8e+09,1.8e+09,2.3e+09,800166649.309171,1499833350.69083,3100166649.30917
23,"EryR",1155400000,1209400000,1182400000,43208999.0626953,1139191000.9373,1225608999.0627
23,"TetR",35400000,79400000,57400000,35207332.5696035,22192667.4303965,92607332.5696035
23,"DRP",4600000,10600000,7600000,4800999.89585503,2799000.10414497,12400999.895855
24,"Total",1.5e+09,2.5e+09,2e+09,800166649.309171,1199833350.69083,2800166649.30917
24,"EryR",1480500000,1387600000,1434050000,74335481.720822,1359714518.27918,1508385481.72082
24,"TetR",70500000,88600000,79550000,14483016.352496,65066983.647504,94033016.352496
24,"DRP",9500000,12400000,10950000,2320483.2829966,8629516.7170034,13270483.2829966
